strata_no,crop,land_type,time,N2Oflux,NOflux,N2flux,CH4,NIT,ANNPPT
INT,TEXT,TEXT,INT,REAL,REAL,REAL,REAL,REAL,REAL
1,idle,switchgrass75,1975,0.071433,0.054203,0.010602,0.221034,1.416254,155.116974
1,idle,switchgrass75,1976,0.013492,0.030303,0.0,0.247949,0.732444,127.419052
1,idle,switchgrass75,1977,0.020945,0.032218,0.005916,0.246919,0.828224,118.088028
1,idle,switchgrass75,1978,0.022181,0.041216,0.0,0.216468,1.195207,144.686295
1,idle,switchgrass75,1979,0.020329,0.039546,3.6e-05,0.214066,1.048931,173.853271
1,idle,switchgrass75,1980,0.030547,0.039766,0.003837,0.226759,1.071205,120.961914
1,idle,switchgrass75,1981,0.024969,0.049127,0.000958,0.238146,1.256939,107.153473
1,idle,switchgrass75,1982,0.022783,0.049744,0.0,0.262577,1.189743,120.415733
1,idle,switchgrass75,1983,0.01883,0.042197,0.0,0.267249,0.982286,105.983932
1,idle,switchgrass75,1984,0.026788,0.047526,0.002024,0.235739,1.215507,129.975586
1,idle,switchgrass75,1985,0.032198,0.06429,0.0,0.21955,1.655085,139.572556
1,idle,switchgrass75,1986,0.020336,0.046841,0.0,0.263366,1.031097,122.449692
1,idle,switchgrass75,1987,0.036412,0.069916,0.0,0.224158,1.887354,149.393951
1,idle,switchgrass75,1988,0.038764,0.065715,0.003331,0.204724,1.802911,148.35675
1,idle,switchgrass75,1989,0.033357,0.066645,0.0,0.22644,1.740882,125.047943
1,idle,switchgrass75,1990,0.036608,0.070467,4e-05,0.213679,1.880278,141.96521
1,idle,switchgrass75,1991,0.032616,0.058845,0.002945,0.253996,1.325927,137.576752
1,idle,switchgrass75,1992,0.03858,0.074532,0.0009,0.21541,1.876274,138.745132
1,idle,switchgrass75,1993,0.036997,0.079462,0.0,0.221775,1.912734,146.166794
1,idle,switchgrass75,1994,0.03558,0.075276,0.0,0.258909,1.858773,111.499336
1,idle,switchgrass75,1995,0.041986,0.078212,0.004869,0.230639,1.979272,133.419678
1,idle,switchgrass75,1996,0.025947,0.053472,0.00491,0.287433,1.043258,101.660469
1,idle,switchgrass75,1997,0.051893,0.078991,0.004437,0.234385,2.046819,143.422775
1,idle,switchgrass75,1998,0.060586,0.087474,0.006045,0.222066,2.397193,134.24881
1,idle,switchgrass75,1999,0.045699,0.091543,0.0,0.217766,2.38981,153.590607
1,idle,switchgrass75,2000,0.045389,0.088703,0.0,0.226072,2.427206,118.904243
1,idle,switchgrass75,2001,0.048756,0.086572,0.001757,0.231775,2.21429,143.852585
1,idle,switchgrass75,2002,0.027899,0.072451,0.0,0.273508,1.414781,105.318329
1,idle,switchgrass75,2003,0.031712,0.073059,0.0,0.29461,1.663667,79.196388
1,idle,switchgrass75,2004,0.045713,0.01133,0.0,0.243347,2.32414,133.942474
1,idle,switchgrass75,2005,0.047217,0.005523,0.0,0.228357,2.525279,136.611191
1,idle,switchgrass75,2006,0.05622,0.086628,0.006689,0.216872,2.291011,155.116974
1,idle,switchgrass75,2007,0.038714,0.088569,0.0,0.251231,1.990306,127.419052
1,idle,switchgrass75,2008,0.054948,0.076845,0.017814,0.255085,1.950031,118.088028
1,idle,switchgrass75,2009,0.053825,0.102529,0.000255,0.217148,2.832169,144.686295
1,idle,switchgrass75,2010,0.056231,0.102311,0.004344,0.213417,2.749602,173.853271
1,idle,switchgrass75,2011,0.056791,0.090512,0.004369,0.228263,2.379639,120.961914
1,idle,switchgrass75,2012,0.053434,0.103209,0.003624,0.239788,2.553508,107.153473
1,idle,switchgrass75,2013,0.047206,0.104386,4.5e-05,0.261218,2.490555,120.415733
1,idle,switchgrass75,2014,0.039187,0.088873,0.0,0.266833,2.128552,105.983932
1,idle,switchgrass75,2015,0.047328,0.083555,0.002522,0.23638,2.196891,129.975586
